text,category,severity
Water pipeline breach drowned three cows and flooded electrical sub-station near Bypass Highway.,Water Management,CRITICAL
Anti-rabies and anti-snake venom emergency injections completely out of stock in district hospital West Singhbhum.,Healthcare,CRITICAL
Water meter glass cloudy and hard to read at property in Khunti.,Water Management,LOW
Chalkboard in class 5 at primary school Lohardaga has cracks and needs repainting.,Education,LOW
Request for shifting electricity pole standing slightly inward on private driveway in Saraikela.,Energy,LOW
Damaged sluice valve cutting drinking water supply to entire commercial and residential district in Simdega.,Water Management,HIGH
"Stray cattle wandering on state highway Industrial Area Road, causing frequent motorcycle skids and collisions.",Public Safety,MEDIUM
High voltage 11KV electrical wire snapped and lying alive on wet school pathway in Simdega.,Energy,CRITICAL
"Mid-day meal served to schoolchildren contained dead lizard and worms, 20 pupils hospitalized in Godda.",Education,CRITICAL
Request for training workshop on organic compost preparation in village Simdega.,Agriculture,LOW
Request for additional story books and encyclopedia in village school library in Khunti.,Education,LOW
Water meter glass cloudy and hard to read at property in Lohardaga.,Water Management,LOW
Market vegetable vendors dumping rotten produce directly into open stormwater drains in Ramgarh.,Sanitation,MEDIUM
Rainwater pooling at street corner due to faulty road gradient on GT Road in Ramgarh.,Urban Infrastructure,MEDIUM
Rainwater pooling at street corner due to faulty road gradient on Airport Road in Giridih.,Urban Infrastructure,MEDIUM
Dead animal carcass found decaying inside the community drinking water overhead tank in Pakur.,Water Management,CRITICAL
"Government bus service to rural block Palamu canceled without notice, college students stranded.",Transportation,HIGH
Toxic fly ash slurry dam breach flooded village agricultural fields with hazardous sludge near West Singhbhum.,Environment,CRITICAL
"Footpath paving blocks broken and dislodged, forcing school students to walk in traffic in Simdega.",Urban Infrastructure,MEDIUM
Divider break on fast expressway in Gumla causing tractors and two-wheelers to drive on wrong side.,Urban Infrastructure,HIGH
"Bus stop shelter collapsed in heavy storm, commuters forced to stand on highway in rain in Saraikela.",Transportation,MEDIUM
Certified seeds provided at block development office had less than 20% germination rate in Chaibasa.,Agriculture,MEDIUM
Dilapidated four-story abandoned factory on verge of immediate structural collapse near crowded marketplace in Jamtara.,Public Safety,CRITICAL
Overloaded passenger boat capsized risk due to cracked hull at river crossing in Ramgarh.,Transportation,CRITICAL
Commercial slaughterhouse dumping animal entrails and blood directly into open municipal drain in Jamshedpur.,Sanitation,HIGH
Frequent sudden voltage spikes burning electronic LED appliances in colony Lohardaga.,Energy,MEDIUM
"Underground electrical cable burnt, whole commercial market in total darkness for 2 days in Lohardaga.",Energy,HIGH
Damaged sluice valve cutting drinking water supply to entire commercial and residential district in Jamshedpur.,Water Management,HIGH
Leakage in water meter junction wasting thousands of liters daily outside house in Bokaro.,Water Management,MEDIUM
"Hailstorm and gale winds flattened standing crops across village Deoghar, farmers facing total bankruptcy.",Agriculture,CRITICAL
"Main storm drain culvert collapsed under truck weight, half the road completely severed in Dumka.",Urban Infrastructure,HIGH
"Drinking water contaminated with industrial chemical waste, dozens hospitalized with severe poisoning in Pakur.",Water Management,CRITICAL
Auto rickshaw stand encroaching on pedestrian crossing near market Jamshedpur.,Transportation,LOW
Surgeon and anesthesiologist absent during critical trauma patient admission at civil hospital Dhanbad.,Healthcare,CRITICAL
Child immunization camp date postponed twice without notifying parents in Deoghar.,Healthcare,MEDIUM
Minor paint flaking off classroom exterior walls in school at Simdega.,Education,LOW
Armed gang carrying out chain snatching and robberies on dark bypass stretch of Bypass Highway after 8 PM.,Public Safety,CRITICAL
"Community public RO purification plant in Koderma broken down for 14 weeks, no technician attending.",Water Management,HIGH
"Doctor at dispensary arriving 3 hours late regularly, causing senior citizens to wait in sun in Sahebganj.",Healthcare,MEDIUM
Traffic signals at four-way junction on Station Road blinking yellow continuously causing vehicle gridlocks.,Urban Infrastructure,MEDIUM
Traffic signals at four-way junction on Industrial Area Road blinking yellow continuously causing vehicle gridlocks.,Urban Infrastructure,MEDIUM
Unauthorized commercial advertising banners blocking driver visibility at road turning in Dhanbad.,Public Safety,LOW
"Water supply in Chaibasa restricted to only 15 minutes once in 3 days, causing violent disputes at community taps.",Water Management,HIGH
Unattended human sewage overflowing on main road outside pediatric hospital in Hazaribagh.,Sanitation,CRITICAL
Unauthorized commercial advertising banners blocking driver visibility at road turning in Ranchi.,Public Safety,LOW
Drip irrigation government subsidy disbursement delayed for over 8 months in Koderma.,Agriculture,MEDIUM
Community public toilet complex locked and overflowing with feces in ward 25 of Simdega.,Sanitation,HIGH
"Soil testing laboratory report delayed by 4 months, missed sowing season in block Chatra.",Agriculture,MEDIUM
"All streetlights on main ring road Hospital Road non-functional for past 45 days, high accident danger.",Urban Infrastructure,HIGH
Minor cracks appearing on walking promenade footpath in public park at Gumla.,Urban Infrastructure,LOW
Pesticide dumping caused sudden death of thousands of fish in community lake at Koderma.,Environment,HIGH
"Water supply in Garhwa restricted to only 15 minutes once in 3 days, causing violent disputes at community taps.",Water Management,HIGH
"Toxic chemical industrial waste dumped near community playground, emitting noxious fumes in Garhwa.",Sanitation,CRITICAL
Emergency Police dial 112 / 100 helpline calls ringing unanswered during violent burglary distress in Jamshedpur.,Public Safety,CRITICAL
"Commercial electricity meter running abnormally fast, inflated bill of Rs 50,000 sent to small shop in Saraikela.",Energy,MEDIUM
Old multi-story commercial market balcony collapsed onto busy pedestrian footpath in Saraikela.,Urban Infrastructure,CRITICAL
Unscheduled power cuts lasting 12 to 16 hours daily in Palamu during peak summer heatwave.,Energy,HIGH
Footbridge over railway tracks in Sahebganj has severely rusted corroded pillars shaking in wind.,Urban Infrastructure,HIGH
Pack of aggressive rabid stray dogs attacked and mauled multiple senior citizens and children in Gumla.,Public Safety,HIGH
Excessive noise pollution from industrial diesel generators running all night in declared silent zone of Jamshedpur.,Environment,MEDIUM
Water smells strongly like foul drainage water and looks muddy black from municipal connection in Dhanbad.,Water Management,HIGH
Labor room in maternal care clinic Saraikela has no running water or sterile equipment.,Healthcare,HIGH
"Bridge approach road collapsed, leaving public transport buses stranded on ledge near Khunti.",Transportation,CRITICAL
Stretcher and wheelchair wheels broken at entrance of government clinic in Khunti.,Healthcare,MEDIUM
Excessive noise pollution from industrial diesel generators running all night in declared silent zone of Palamu.,Environment,MEDIUM
Construction and demolition debris dumped openly on dry riverbed near Airport Road.,Environment,MEDIUM
"Electricity bill received after the due date, incurring unjustified penalty charge in Simdega.",Energy,LOW
Street vegetable market causing minor pedestrian bottleneck on evening sidewalks in Bokaro.,Public Safety,LOW
"Commercial private trucks parking illegally on both lanes of narrow highway Bypass Highway, causing daily fatal crashes.",Transportation,HIGH
Bus timetable display screen broken at central bus stand in Chatra.,Transportation,LOW
"Road excavated for sewage pipeline 4 months ago left unpaved, mud and dust causing daily skidding in Ranchi.",Urban Infrastructure,HIGH
Toxic fly ash slurry dam breach flooded village agricultural fields with hazardous sludge near Gumla.,Environment,CRITICAL
Street signboards fallen down and lying in ditch near entrance of Jamshedpur.,Urban Infrastructure,MEDIUM
Decorative street light poles in park Giridih have missing decorative glass covers.,Urban Infrastructure,LOW
"Canal outlet siphon silted up, tail-end farmers receiving zero irrigation flow in West Singhbhum.",Agriculture,MEDIUM
Ticket vending machine at bus terminal out of order in Simdega.,Transportation,LOW
"Electricity bill received after the due date, incurring unjustified penalty charge in Giridih.",Energy,LOW
Frequent sudden voltage spikes burning electronic LED appliances in colony Dumka.,Energy,MEDIUM
"Illegal sand mining mafia using heavy dredging excavators, destroying river ecosystem and groundwater table at Saraikela.",Environment,CRITICAL
"Desks and benches broken, students forced to sit on damp concrete floor in school at Dumka.",Education,MEDIUM
Overgrown wild weeds and Congress grass causing seasonal pollen allergies in colony park Pakur.,Environment,LOW
"Brick kilns operating illegal coal combustion chimneys, air quality index crossing severe 450 in Jamshedpur.",Environment,HIGH
Dilapidated four-story abandoned factory on verge of immediate structural collapse near crowded marketplace in Ranchi.,Public Safety,CRITICAL
"Electric pole broken at base by storm, leaning directly over tin roof of occupied house in Gumla.",Energy,CRITICAL
Excessive noise pollution from industrial diesel generators running all night in declared silent zone of Chatra.,Environment,MEDIUM
"Soil testing laboratory report delayed by 4 months, missed sowing season in block Godda.",Agriculture,MEDIUM
Slight brownish discoloration noticed in morning tap water for past two days in Hazaribagh.,Water Management,LOW
